"1" "2" "3" "4" "5" "6" "7"
"ENSG00000142611" 3.54121635244724e-12 1.4339616437076e-12 2.15598051316543e-06 6.57466905340782e-10 4.36793896750750e-12 3.31751394747501e-07 1.19303700945129e-11
"ENSG00000130762" 1.33281412331801e-05 1.37579878939156e-05 2.53339707087373e-05 8.33564760187137e-06 1.77720988136621e-05 1.06519299622094e-05 1.44404002957988e-05
"ENSG00000162591" 4.91239173794744e-07 2.42558756566983e-06 4.28775578066045e-11 3.50126050305701e-11 4.03716774704196e-11 4.00743918767193e-06 4.52705565239631e-06
"ENSG00000158109" 1.96902349878248e-05 2.03632791455605e-05 3.67098174621347e-05 4.37015797391059e-05 1.93735108720513e-05 1.70862939722978e-05 6.85081653140406e-05
"ENSG00000116213" 1.02621325577631e-05 1.76043491508141e-05 2.06761451565378e-05 2.07392757790681e-05 2.34471015997358e-05 2.59264872889738e-05 1.25514705340173e-05
"ENSG00000078900" 2.13925253241655e-06 2.54621036848456e-06 4.56105560432213e-06 4.63644983010294e-06 1.00939492134954e-11 9.25823232379087e-10 8.74998452209676e-08
"ENSG00000162592" 9.12962384911434e-13 6.37979437346708e-13 1.55130159461915e-12 1.67819360095229e-12 1.87865182838415e-12 2.06323379615357e-12 7.73884190257065e-07
"ENSG00000235169" 7.12530071112973e-11 2.41985529132148e-06 2.02243264551749e-11 1.85691407920149e-06 1.58295216783967e-05 3.61380044428775e-06 5.56654456391633e-06
"ENSG00000130764" 7.08774235513488e-05 5.82165709986226e-05 7.49211248270229e-05 4.64236985108791e-10 4.34458648149535e-05 5.95986590935801e-05 9.43662506356365e-11
"ENSG00000116198" 1.47121001827851e-05 1.87847909532226e-05 2.24138918489588e-05 1.94057701748015e-05 7.68657503855616e-06 5.31290701965284e-10 6.91409213860843e-11
"ENSG00000169598" 6.98560304247497e-06 6.99624806214342e-06 5.86687392773825e-06 1.46583681303207e-05 1.94411463753633e-11 2.95908764709647e-06 5.01845233199593e-09
"ENSG00000198912" 7.52656009913458e-05 5.29126353759972e-05 2.31962389151374e-05 3.73729898352551e-11 1.81529771649815e-05 6.01381688731483e-05 9.62310187318221e-05
"ENSG00000196581" 7.30939668264399e-06 1.83284678009111e-06 7.02339790933595e-06 1.04388659475309e-07 2.94118398107838e-06 4.52367996705995e-06 5.79122372864953e-05
"ENSG00000131697" 2.24641383847955e-06 2.54547757554191e-06 2.0728261871361e-05 1.3245553930977e-05 3.41168061906372e-11 6.59587307520972e-06 1.12446295092415e-05
"ENSG00000069424" 5.06729703152616e-06 3.00693802192549e-07 3.92896035899205e-06 4.03236022576605e-10 1.13474522443242e-05 7.1384347234493e-06 1.25637414674332e-05
"ENSG00000116254" 2.92518515405322e-12 2.65564289701668e-12 7.78913794925409e-07 1.83193356871566e-06 9.18889162266272e-07 1.65287021707951e-06 4.98199171800101e-12
"ENSG00000116251" 0.00132038862100345 0.00115312627294662 0.00054244730464901 0.000612211342248579 0.00104365225496172 0.000631516071782886 0.000195005758219481
"ENSG00000158286" 3.88459602833939e-12 2.39574940693584e-06 3.50161100602221e-06 2.02789712854833e-06 5.43807172908316e-12 3.38866543935858e-06 4.32776573188683e-12
"ENSG00000116237" 3.83921312830684e-05 8.44595149287888e-05 0.000130601761595717 8.29023717369014e-05 4.89449163828674e-05 0.00013591503626663 9.78773181922644e-05
"ENSG00000173673" 4.51763000780951e-12 3.44250468241702e-10 2.1209748346694e-06 5.83175050038093e-07 4.34346323436008e-06 1.607802491735e-06 4.67459927630498e-12
"ENSG00000158292" 1.24117725988789e-07 9.59930234182957e-06 3.55203354252752e-06 4.08558510990623e-05 2.8537893962858e-05 2.55560576353478e-05 2.04459698038676e-05
"ENSG00000097021" 0.000120874211206194 0.000123334730040016 8.29873326412697e-05 0.000128688134914408 0.000158261173500036 3.0745194475868e-05 3.51762235551606e-10
"ENSG00000069812" 8.4341813508255e-13 3.50603842452735e-12 8.76310729929127e-07 2.18656511980286e-12 2.33606477107028e-12 2.4844540360404e-07 2.48891615451519e-12
"ENSG00000187017" 2.45480726330399e-06 1.23020601540629e-06 2.3422915906092e-06 1.00699424679316e-11 7.38046793847502e-06 7.91532945838957e-06 7.43865228188904e-07
"ENSG00000215788" 4.35786322083651e-07 1.18087942102053e-06 8.16635497519707e-10 4.7644666346838e-06 3.18833772756632e-06 4.68645037686588e-06 8.34224217678567e-12
"ENSG00000171680" 2.96114889657189e-07 1.62961166280566e-10 6.36574594472979e-06 1.53444547479699e-05 2.16665930903292e-06 8.91568591807186e-06 5.89369544311764e-06
"ENSG00000162408" 3.32053402160546e-05 6.61031357355613e-05 7.78875138334119e-05 7.47446770210648e-05 3.54300410996541e-05 2.86884483782329e-05 3.39566894496618e-05
"ENSG00000204859" 3.1956009651157e-09 7.98752311357679e-06 1.38528293644165e-05 9.20333943562698e-06 1.55436718994683e-05 1.05954985970474e-05 4.18834397751778e-06
"ENSG00000162413" 2.11681456741734e-05 1.23963584221834e-05 3.63158837889953e-05 7.60882949294907e-06 2.44934433496999e-05 1.38058069081435e-05 2.34771549851316e-05
"ENSG00000116273" 4.33777620174184e-05 3.7010742011517e-05 3.76030847156593e-05 5.49096074918686e-05 4.94957896329553e-06 3.26302891555967e-05 7.54828101436836e-05
"ENSG00000041988" 9.2465762193361e-06 1.2257557615333e-05 2.1011998365119e-06 6.63742710427656e-06 3.15288983044195e-05 2.35371610340552e-06 8.95615503436682e-06
"ENSG00000007923" 2.72522746639508e-05 4.5713483944092e-05 1.05027255734006e-05 4.30335736265534e-05 5.02623739413493e-05 4.12174882418789e-05 4.13733705652923e-05
"ENSG00000171735" 0.000347121519161166 0.000325639360848177 0.000103359407302912 0.000241263762877132 0.00071816866153162 0.000175071622039194 0.000185433882161499
"ENSG00000049245" 5.13118759430081e-05 4.80472980214686e-05 4.37754242014329e-05 3.4701625338213e-11 1.90137561633356e-05 2.45220132158959e-05 1.63746761686117e-05
"ENSG00000049246" 4.09022905064302e-06 3.55954460819808e-10 1.84439318905008e-05 1.84498766548593e-05 1.06590554319927e-05 4.23269286128727e-06 4.56591422796487e-11
"ENSG00000049247" 1.02000836956269e-12 6.4891437737743e-13 1.55068972189629e-12 2.01037951575164e-07 4.07507836773186e-12 2.03439135648225e-12 2.28727982621332e-12
"ENSG00000049249" 8.59628702278741e-13 6.37435111176822e-13 1.28534712328046e-12 1.67793810874653e-12 2.7315702814316e-12 4.56199656549026e-07 2.71135991188617e-12
"ENSG00000116288" 0.00133839481375713 0.00107849626954749 0.000466794481109054 0.000157045459707278 0.000795430784334005 0.000786733384989525 0.000238770894781273
